InceptionV3/InceptionV3/Conv2d_2a_3x3/Conv2D OpenCL 5801 4114 9915
InceptionV3/InceptionV3/Conv2d_2b_3x3/Conv2D OpenCL 228 9929 10157
InceptionV3/InceptionV3/MaxPool_3a_3x3/MaxPool OpenCL 32 10165 10197
InceptionV3/InceptionV3/Conv2d_1a_3x3/Conv2D CPU 3778 268 4046
InceptionV3/InceptionV3/Conv2d_3b_1x1/Conv2D CPU 58761 10252 69013
InceptionV3/InceptionV3/Conv2d_4a_3x3/Conv2D OpenCL 1475 69133 70608
InceptionV3/InceptionV3/MaxPool_5a_3x3/MaxPool OpenCL 33 70627 70660
InceptionV3/InceptionV3/Mixed_5b/Branch_3/AvgPool_0a_3x3/AvgPool OpenCL 28 70668 70696
InceptionV3/InceptionV3/Mixed_5b/Branch_0/Conv2d_0a_1x1/Conv2D OpenCL 47673 70702 118375
InceptionV3/InceptionV3/Mixed_5b/Branch_3/Conv2d_0b_1x1/Conv2D OpenCL 1773 118397 120170
InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0a_1x1/Conv2D CPU 51343 70919 122262
InceptionV3/InceptionV3/Mixed_5b/Branch_1/Conv2d_0b_5x5/Conv2D OpenCL 763 125462 126225
InceptionV3/InceptionV3/Mixed_5b/Branch_1/Conv2d_0a_1x1/Conv2D CPU 3098 122333 125431
InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0b_3x3/Conv2D CPU 3222 126275 129497
InceptionV3/InceptionV3/Mixed_5b/Branch_2/Conv2d_0c_3x3/Conv2D OpenCL 8125 129531 137656
InceptionV3/InceptionV3/Mixed_5b/concat CPU 14233 137734 151967
InceptionV3/InceptionV3/Mixed_5c/Branch_3/AvgPool_0a_3x3/AvgPool CPU 1213 152052 153265
InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0b_3x3/Conv2D OpenCL 753 154979 155732
InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0c_3x3/Conv2D OpenCL 65 155745 155810
InceptionV3/InceptionV3/Mixed_5c/Branch_2/Conv2d_0a_1x1/Conv2D CPU 1587 153358 154945
InceptionV3/InceptionV3/Mixed_5c/Branch_1/Conv2d_0b_1x1/Conv2D CPU 1412 155879 157291
InceptionV3/InceptionV3/Mixed_5c/Branch_0/Conv2d_0a_1x1/Conv2D CPU 1803 157543 159346
