redmi	nc4hw4_buffer_to_image(ms)	image_to_nc4hw4_buffer
(1,32,149,149)	4.21306	2.03098
(1,32,147,147)	4.09066	2.18477
(1,64,147,147)	7.66926	3.37186
(1,64,73,73)	3.18728	1.44883
(1,80,73,73)	3.56103	1.53976
(1,192,71,71)	6.13877	2.73745
(1,192,35,35)	2.89191	1.19929
(1,64,35,35)	2.79412	1.23357
(1,48,35,35)	3.08924	0.94514
(1,32,35,35)	2.30633	0.57912
(1,96,35,35)	2.41781	1.14483
(1,256,35,35)	3.13913	1.40415
(1,288,35,35)	3.35875	1.40535
(1,288,17,17)	2.34715	1.07999
(1,384,17,17)	2.5227	0.98653
(1,96,17,17)	2.25319	0.46934
(1,768,17,17)	3.02082	1.48693
(1,128,17,17)	2.65499	0.64087
(1,192,17,17)	3.40123	1.11423
(1,160,17,17)	3.39441	0.9174
(1,768,8,8)	3.70986	1.27479
(1,320,8,8)	2.40154	0.47494
(1,192,8,8)	2.16928	0.5219
(1,1280,8,8)	2.8799	1.32429
(1,448,8,8)	3.68647	0.97914
(1,384,8,8)	3.56099	0.89047
(1,2048,8,8)	2.80037	1.43669
(1,2048,1,1)	2.19717	0.52823
(1,1001,1,1)	1.72694	0.4887
(1,1,1,1001)	3.33114	0.80935
(1,0,1001,0)	0	0
