InceptionV4/Logits/Logits/biases CPU 0 557 557
InceptionV4/Logits/Logits/weights CPU 0 570 570
InceptionV4/Logits/PreLogitsFlatten/flatten/Reshape/shape/1 CPU 0 579 579
InceptionV4/Logits/PreLogitsFlatten/flatten/strided_slice/stack_2 CPU 0 584 584
InceptionV4/Logits/PreLogitsFlatten/flatten/strided_slice/stack_1 CPU 0 587 587
InceptionV4/Logits/PreLogitsFlatten/flatten/strided_slice/stack CPU 0 590 590
InceptionV4/InceptionV4/Conv2d_1a_3x3/Conv2D CPU 3934 593 4527
InceptionV4/InceptionV4/Conv2d_2a_3x3/Conv2D CPU 6726 4553 11279
InceptionV4/InceptionV4/Conv2d_2b_3x3/Conv2D CPU 11521 11315 22836
InceptionV4/InceptionV4/Mixed_3a/Branch_0/MaxPool_0a_3x3/MaxPool CPU 1724 25531 27255
InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Conv2D/Convert Convert 12126 22877 35003
InceptionV4/InceptionV4/Mixed_3a/Branch_1/Conv2d_0a_3x3/Conv2D OpenCL 8035 35003 43038
InceptionV4/InceptionV4/Mixed_3a/concat/Convert Convert 1156 43090 44246
InceptionV4/InceptionV4/Mixed_3a/concat CPU 574 44246 44820
InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_0a_1x1/Conv2D CPU 6305 44861 51166
InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0a_1x1/Conv2D/Convert Convert 6178 45040 51218
InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0a_1x1/Conv2D OpenCL 1987 51218 53205
InceptionV4/InceptionV4/Mixed_4a/Branch_0/Conv2d_1a_3x3/Conv2D CPU 5651 51216 56867
InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0b_1x7/Conv2D OpenCL 3581 53280 56861
InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_0c_7x1/Conv2D OpenCL 4864 56891 61755
InceptionV4/InceptionV4/Mixed_4a/Branch_1/Conv2d_1a_3x3/Conv2D OpenCL 10896 61795 72691
InceptionV4/InceptionV4/Mixed_4a/concat/Convert Convert 1832 73023 74855
InceptionV4/InceptionV4/Mixed_4a/concat CPU 2298 74855 77153
InceptionV4/InceptionV4/Mixed_5a/Branch_1/MaxPool_1a_3x3/MaxPool CPU 1889 77190 79079
InceptionV4/InceptionV4/Mixed_5a/Branch_0/Conv2d_1a_3x3/Conv2D/Convert Convert 6533 77214 83747
