lanenet_model/vgg_frontend/vgg16_encode_module/conv1_1/conv/Conv2D CPU 182909 2 182911
lanenet_model/vgg_frontend/vgg16_encode_module/conv1_2/conv/Conv2D CPU 601619 182930 784549
lanenet_model/vgg_frontend/vgg16_encode_module/pool1 CPU 20230 784568 804798
lanenet_model/vgg_frontend/vgg16_encode_module/conv2_1/conv/Conv2D CPU 265642 804820 1070462
lanenet_model/vgg_frontend/vgg16_encode_module/conv2_2/conv/Conv2D CPU 542346 1070480 1612826
lanenet_model/vgg_frontend/vgg16_encode_module/pool2 CPU 9667 1612845 1622512
lanenet_model/vgg_frontend/vgg16_encode_module/conv3_1/conv/Conv2D CPU 230989 1622530 1853519
lanenet_model/vgg_frontend/vgg16_encode_module/conv3_2/conv/Conv2D CPU 432072 1853536 2285608
lanenet_model/vgg_frontend/vgg16_encode_module/conv3_3/conv/Conv2D CPU 431876 2285625 2717501
lanenet_model/vgg_frontend/vgg16_encode_module/pool3 CPU 4879 2717519 2722398
lanenet_model/vgg_frontend/vgg16_encode_module/conv4_1/conv/Conv2D CPU 225338 2722410 2947748
lanenet_model/vgg_frontend/vgg16_encode_module/conv4_2/conv/Conv2D CPU 495415 2947767 3443182
lanenet_model/vgg_frontend/vgg16_encode_module/conv4_3/conv/Conv2D CPU 497897 3443200 3941097
lanenet_model/vgg_frontend/vgg16_encode_module/pool4 CPU 4473 3941115 3945588
lanenet_model/vgg_frontend/vgg16_encode_module/conv5_1_binary/conv/Conv2D CPU 136531 3945598 4082129
lanenet_model/vgg_frontend/vgg16_encode_module/conv5_1_instance/conv/Conv2D CPU 136499 4082147 4218646
lanenet_model/vgg_frontend/vgg16_encode_module/conv5_2_binary/conv/Conv2D CPU 136083 4218664 4354747
lanenet_model/vgg_frontend/vgg16_encode_module/conv5_2_instance/conv/Conv2D CPU 136497 4354765 4491262
lanenet_model/vgg_frontend/vgg16_encode_module/conv5_3_binary/conv/Conv2D CPU 136751 4491280 4628031
lanenet_model/vgg_frontend/vgg16_encode_module/conv5_3_instance/conv/Conv2D CPU 136716 4628048 4764764
lanenet_model/vgg_frontend/vgg16_decode_module/binary_seg_decode/decode_stage_4_fuse/deconv/deconv/conv2d_transpose CPU 584074 4764782 5348856
lanenet_model/vgg_frontend/vgg16_decode_module/instance_seg_decode/decode_stage_4_fuse/deconv/deconv/conv2d_transpose CPU 582583 5348877 5931460
