c Problem:    
c Rows:       144
c Columns:    61
c Non-zeros:  408
c Status:     INTEGER OPTIMAL
c Objective:  value = 30.87595 (MINimum)
c
s mip 144 61 o 30.8759499999999
i 1 530.87595
i 2 -477.578078
i 3 30.8759499999999
i 4 19.147376
i 5 530.87595
i 6 -481.065178
i 7 30.8759499999999
i 8 29.047161
i 9 530.87595
i 10 -492.874708
i 11 30.8759499999999
i 12 2.85559200000001
i 13 530.87595
i 14 -497.144408
i 15 30.8759499999999
i 16 2.85559200000001
i 17 30.8759499999999
i 18 0.687900000000013
i 19 530.87595
i 20 -489.837291
i 21 530.87595
i 22 -470.952839
i 23 30.8759499999999
i 24 -447.898693
i 25 530.87595
i 26 -469.12405
i 27 30.8759499999999
i 28 10.162709
i 29 530.87595
i 30 -499.3121
i 31 30.8759499999999
i 32 0.687900000000013
i 33 1
i 34 1
i 35 1
i 36 1
i 37 1
i 38 1
i 39 1
i 40 1
i 41 -3.4871
i 42 -490.100215
i 43 -15.2966299999999
i 44 -16.291784
i 45 -19.5663299999999
i 46 -16.291784
i 47 -21.7340219999999
i 48 -8.98466699999994
i 49 -493.374761
i 50 -470.320615
i 51 -490.100215
i 52 -467.046069
i 53 -491.545972
i 54 -8.984667
i 55 18.2469219999999
i 56 18.4594759999999
i 57 18.2469219999999
i 58 18.4594759999999
i 59 3.4871
i 60 490.100215
i 61 -11.8095299999999
i 62 -26.191569
i 63 -16.0792299999999
i 64 -26.191569
i 65 -18.2469219999999
i 66 -18.884452
i 67 -489.887661
i 68 -476.945854
i 69 -488.058872
i 70 -8.77211299999999
i 71 -498.171211
i 72 -18.884452
i 73 13.4514999999999
i 74 28.359261
i 75 13.4514999999999
i 76 28.359261
i 77 15.2966299999999
i 78 16.291784
i 79 11.8095299999999
i 80 26.191569
i 81 0
i 82 0
i 83 0
i 84 0
i 85 -6.437392
i 86 -492.692883
i 87 -478.078131
i 88 -450.754285
i 89 -476.249342
i 90 3.03741699999995
i 91 -471.979642
i 92 7.30711699999995
i 93 2.167692
i 94 2.167692
i 95 2.167692
i 96 2.167692
i 97 19.5663299999999
i 98 16.291784
i 99 16.0792299999999
i 100 26.191569
i 101 -2.167692
i 102 -492.692883
i 103 -473.808431
i 104 -450.754285
i 105 -471.979642
i 106 7.30711699999995
i 107 -471.979642
i 108 7.30711699999995
i 109 0
i 110 2.167692
i 111 0
i 112 2.167692
i 113 21.7340219999999
i 114 8.98466699999994
i 115 18.2469219999999
i 116 18.884452
i 117 6.437392
i 118 492.692883
i 119 2.167692
i 120 492.692883
i 121 -471.640739
i 122 -448.586593
i 123 -481.115548
i 124 -458.061402
i 125 -469.81195
i 126 9.47480899999995
i 127 -479.286759
i 128 -5.6843418860808e-14
i 129 0
i 130 2.16769200000001
i 131 0
i 132 2.16769200000001
i 133 489.887661
i 134 476.945854
i 135 478.078131
i 136 450.754285
i 137 473.808431
i 138 450.754285
i 139 -498.171211
i 140 -41.938598
i 141 491.545972
i 142 8.984667
i 143 498.171211
i 144 41.938598
j 1 30.8759499999999
j 2 1
j 3 8.45402799999999
j 4 1
j 5 0
j 6 11.728574
j 7 0
j 8 1
j 9 11.941128
j 10 1
j 11 0
j 12 1.82878899999997
j 13 0
j 14 1
j 15 23.7506579999999
j 16 0
j 17 28.0203579999999
j 18 1
j 19 28.0203579999999
j 20 0
j 21 28.0203579999999
j 22 0
j 23 30.1880499999999
j 24 1
j 25 20.7132409999999
j 26 1.82878899999997
j 27 478.774643
j 28 0
j 29 20.713241
j 30 1
j 31 30.1880499999999
j 32 0
j 33 30.1880499999999
j 34 0
j 35 1
j 36 0
j 37 0
j 38 0
j 39 0
j 40 0
j 41 0
j 42 1
j 43 0
j 44 0
j 45 0
j 46 0
j 47 0
j 48 0
j 49 0
j 50 1
j 51 0
j 52 0
j 53 1
j 54 1
j 55 0
j 56 0
j 57 1
j 58 1
j 59 0
j 60 1
j 61 1
e o f
